Concentration (ï¿½M),Repl1,Repl2,Repl3,Repl4,Repl5,Repl6,Repl7,
0,249.802,305.974,348.017,338.763,334.145,382.301,360.219,
10,315.325,284.368,272.14,,,,,
20,260.925,234.621,219.162,,,,,
30,196.737,,,,,,,
40,175.195,216.765,125.756,139.755,,,,
50,144.93,155.604,157.084,158.116,,,,
60,115.158,126.775,115.5,,,,,
70,105.988,120.344,86.079,,,,,
80,116.984,157.046,,,,,,
90,86.764,157.826,85.931,117.475,,,,
100,100.33,100.789,102.01,112.374,,,,
110,118.79,133.59,97.231,105.331,,,,
120,111.94,82.985,72.983,70.771,,,,
150,55.911,60.81,63.574,114.922,,,,